,tweet,word_count,char_count,avg_word,stopwords,hastags,numerics,upper,sentiment
215,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
216,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
217,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
218,mick_gaffney job alert beyond peat looking recruit 48 month term postdoctoral candi,22,140,5.409090909090909,4,0,1,1,0.0
219,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
220,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
221,pauline67477 pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifa,11,140,11.818181818181818,0,0,0,3,0.0
222,pamela49986311 ethicalfarmie newstalkfm irishtimes independent_ie irishexaminer ifamedia patkennynt,11,140,11.818181818181818,0,0,0,1,0.0
223,mick_gaffney job alert beyond peat looking recruit 48 month term postdoctoral candi,22,140,5.409090909090909,4,0,1,1,0.0
224,saveleitrim env_pillar ellamcsweeney citizassembly certainly large scale cumulative plantation forestry reducing biodive,16,140,7.8125,3,0,0,1,0.21428571428571427
225,1000 school took part final 10 vote follow u twitter andor facebook,22,139,4.75,7,0,0,1,0.0
